First Letter;Number Languages;Writing Hand;Shoe Size;Length;Blood Type;Resus Factor;Siblings;Internet Purchase;Mobile Devices;Leisure;Hours Math;Importance AI Study;Antwerp Address;Travel Distance;Travel Time;Driver License;Smoker;Fruit;Favorite Fruit;OS;App;Biden;Class Mascot;Study Load
V;2;Right;37;166;Unknown;Unknown;2;No;2;Shopping;2 hours per week;Extreemly important;No;30;80;No;Yes;1 or less;1=Apple,2=Pear,3=Pineapple,4=Strawberry,5=Plum,6=Orange,7=Cherry,8=Kiwi,9=Banana,10=Orange;iOS;Brain Puzzle App;4;1=Panther,2=Fox,3=Wolf,4=Brown Bear,5=Cougar,6=Badger,7=Raccoon,8=Bison,9=Otter,10=Raccoon;16-20 hours
I;2;Right;43;189;Unknown;Unknown;3;Yes;2;Gaming;6;Extreemly important;Yes;20;50;No;No;1 or less;1=Cherry,2=Banana,3=Orange,4=Plum,5=Pear,6=Kiwi,7=Apple,8=Pineapple,9=Melon,10=Strawberry;Windows;Pay app;4;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;<= 10 hours
N;2;Left;45;186;Unknown;Unknown;2;Yes;2;Watching movie/TV series;4/week;Great importance;Yes;9;45;No;No;2;1=Cherry,2=Pear,3=Plum,4=Pineapple,5=Kiwi,6=Melon,7=Apple,8=Strawberry,9=Apple,10=Banana;Windows;Browser App;4;1=Fox,2=Raccoon,3=Wolf,4=Panther,5=Brown Bear,6=Bison,7=Otter,8=Beaver,9=Badger,10=Cougar;21-25 hours
D;1.25;Right;44;190;Unknown;Unknown;1;Yes;7;Other;150;Very great importance;Yes;2.5;8;Yes;No;4;10=Strawberry,10=Pineapple,10=Apple,10=Banana,10=Cherry,10=Kiwi,10=Melon,10=Pear,7=Plum,10=Orange;Windows;Other App;4;10=Panther,10=Cougar,10=Fox,10=Wolf,10=Brown Bear,10=Beaver,10=Badger,10=Bison,10=Raccoon,10=Otter;26-30 hours
L;2;Right;45;195;Unknown;Unknown;1;No;1;Gaming;144;Not at all;Yes;1;8;Yes;No;1 or less;1=Pear,2=Banana,3=Melon,4=Strawberry,5=Pineapple,6=Cherry,7=Orange,8=Plum,9=Kiwi,10=Apple;Windows;Social Netwerk App;4;1=Beaver,2=Brown Bear,3=Panther,4=Cougar,5=Fox,6=Wolf,7=Badger,8=Bison,9=Raccoon,10=Otter;<= 10 hours
A;4;Right;38;166;Unknown;Unknown;6;Yes;4;Gaming;150;Great importance;Yes;16;40;No;No;3;1=Strawberry,2=Cherry,3=Plum,4=Melon,5=Orange,6=Kiwi,7=Apple,8=Pear,9=Banana,10=Banana;Windows;Comics/Manga reader App;4;1=Fox,2=Raccoon,3=Otter,4=Beaver,5=Panther,6=Cougar,7=Badger,8=Wolf,9=Brown Bear,10=Bison;26-30 hours
M;3;Right;47;191;Unknown;Unknown;2;Yes;1;Gaming;6 hours/week;Moderate importance;No;32;90;No;No;1 or less;1=Strawberry,2=Kiwi,3=Apple,4=Banana,5=Orange,6=Melon,7=Cherry,8=Pineapple,9=Plum,10=Pear;Windows;Browser App;4;1=Wolf,2=Panther,3=Brown Bear,4=Fox,5=Cougar,6=Raccoon,7=Beaver,8=Bison,9=Badger,10=Otter;21-25 hours
N;2;Right;45;179;A;+;2;Yes;2;Sport (practicing/supporting);210;Extreemly important;Yes;2;19;No;No;1 or less;1=Apple,2=Pineapple,3=Banana,4=Orange,5=Pear,6=Strawberry,7=Kiwi,8=Melon,9=Cherry,10=Plum;Windows;Social Netwerk App;8;1=Panther,2=Cougar,3=Wolf,4=Brown Bear,5=Fox,6=Bison,7=Raccoon,8=Badger,9=Beaver,10=Otter;36-40 hours
B;5;Right;40;170;B;+;0;Yes;2;Gaming;0;Very great importance;Yes;5;28;No;No;5;1=Cherry,2=Plum,3=Orange,4=Pineapple,5=Apple,6=Kiwi,7=Banana,8=Pear,9=Strawberry,10=Melon;Windows;Browser App;4;1=Wolf,2=Panther,3=Fox,4=Brown Bear,5=Raccoon,6=Otter,7=Cougar,8=Beaver,9=Badger,10=Bison;26-30 hours
A;2;Right;43;176;Unknown;Unknown;1;Yes;3;Music (play/listen);7;Very great importance;Yes;2;10;Yes;No;1 or less;1=Cherry,2=Banana,3=Strawberry,4=Apple,5=Melon,6=Kiwi,7=Pear,8=Pineapple,9=Plum,10=Orange;Windows;Browser App;4;1=Otter,2=Beaver,3=Fox,4=Badger,5=Brown Bear,6=Wolf,7=Cougar,8=Bison,9=Raccoon,10=Panther;>= 41 hours
